county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Trinity,10/16/2020,0,0,0,25,0,0,0
Mariposa,10/16/2020,0,0,0,19,0,0,0
Modoc,10/16/2020,0,0,0,41,0,0,0
Kern,10/16/2020,58,1,59,1338,20,0,53
Santa Barbara,10/16/2020,13,3,16,666,4,1,60
Sutter,10/16/2020,0,0,0,14,0,0,0
Yolo,10/16/2020,6,0,6,96,4,0,5
Lassen,10/16/2020,0,0,0,25,0,0,0
Marin,10/16/2020,9,3,12,368,2,0,15
Mono,10/16/2020,0,0,0,17,0,0,2
Calaveras,10/16/2020,0,0,0,33,0,0,6
Solano,10/16/2020,21,17,38,547,6,1,5
Madera,10/16/2020,8,8,16,263,0,0,25
San Luis Obispo,10/16/2020,3,1,4,451,0,0,23
Santa Clara,10/16/2020,89,16,105,2928,29,1,111
Stanislaus,10/16/2020,55,12,67,1309,15,3,31
Santa Cruz,10/16/2020,14,0,14,389,6,0,13
Colusa,10/16/2020,0,0,0,48,0,0,0
San Benito,10/16/2020,0,0,0,25,0,0,3
Contra Costa,10/16/2020,21,13,34,1480,5,3,35
Butte,10/16/2020,2,0,2,451,2,0,12
Amador,10/16/2020,0,0,0,51,0,0,2
Placer,10/16/2020,11,22,33,736,4,4,29
Kings,10/16/2020,14,0,14,193,1,0,16
Mendocino,10/16/2020,0,0,0,150,0,0,5
San Francisco,10/16/2020,20,4,24,2294,6,0,52
Napa,10/16/2020,2,1,3,351,0,0,24
Yuba,10/16/2020,9,1,10,265,0,0,15
Orange,10/16/2020,159,40,199,5806,56,8,249
Alameda,10/16/2020,52,43,95,2356,17,2,130
San Joaquin,10/16/2020,30,10,40,1013,5,3,44
Mono,10/17/2020,0,0,0,17,0,0,1
Tuolumne,10/17/2020,0,0,0,84,0,0,4
Sonoma,10/17/2020,23,4,27,560,4,0,4
Mariposa,10/17/2020,0,0,0,19,0,0,0
Shasta,10/17/2020,0,5,5,561,0,1,4
Lassen,10/17/2020,0,0,0,25,0,0,0
Sutter,10/17/2020,0,0,0,14,0,0,0
San Joaquin,10/17/2020,25,8,33,1009,4,3,43
San Francisco,10/17/2020,23,3,26,1854,8,1,65
Kings,10/17/2020,15,0,15,193,1,0,15
Santa Barbara,10/17/2020,12,2,14,666,3,1,61
Calaveras,10/17/2020,0,0,0,33,0,0,6
Contra Costa,10/17/2020,26,17,43,1499,3,2,49
Mendocino,10/17/2020,0,0,0,150,0,0,6
Orange,10/17/2020,162,42,204,5706,59,12,250
Solano,10/17/2020,22,19,41,548,6,1,8
El Dorado,10/17/2020,0,0,0,189,0,0,10
Riverside,10/17/2020,153,65,218,3350,44,11,112
Fresno,10/17/2020,86,23,109,1548,24,1,38
Nevada,10/17/2020,0,0,0,111,0,0,0
Plumas,10/17/2020,0,0,0,35,0,0,0
Colusa,10/17/2020,0,0,0,48,0,0,0
Butte,10/17/2020,2,0,2,451,2,0,12
Humboldt,10/17/2020,3,2,5,266,1,2,3
Monterey,10/17/2020,25,0,25,702,6,0,38
Alameda,10/17/2020,54,36,90,2340,19,5,133
Los Angeles,10/17/2020,722,297,1019,19935,197,31,929
San Bernardino,10/17/2020,265,45,310,3819,39,9,166
Sacramento,10/17/2020,78,33,111,2460,21,5,90
Kern,10/17/2020,59,5,64,1281,18,0,60
Lake,10/17/2020,1,0,1,65,1,0,2
Santa Clara,10/17/2020,84,17,101,2932,23,0,117
San Diego,10/17/2020,185,51,236,6779,66,7,333
San Mateo,10/17/2020,21,7,28,686,6,3,30
Stanislaus,10/17/2020,60,8,68,1307,17,2,22
Modoc,10/17/2020,0,0,0,41,0,0,0
Tulare,10/17/2020,32,0,32,677,4,0,29
Merced,10/17/2020,7,0,7,272,2,0,12
Santa Cruz,10/17/2020,12,0,12,389,6,0,11
Glenn,10/17/2020,0,0,0,47,0,0,0
Yuba,10/17/2020,9,1,10,265,0,0,14
Napa,10/17/2020,2,0,2,351,0,0,24
San Benito,10/17/2020,0,0,0,25,0,0,3
Amador,10/17/2020,0,0,0,51,0,0,1
Marin,10/17/2020,9,4,13,365,2,0,14
Tehama,10/17/2020,5,0,5,59,2,0,0
Ventura,10/17/2020,30,10,40,1234,13,3,63
Placer,10/17/2020,24,21,45,738,5,2,33
Siskiyou,10/17/2020,0,0,0,56,0,0,8
Del Norte,10/17/2020,0,0,0,51,0,0,2
Trinity,10/17/2020,0,0,0,25,0,0,0
San Luis Obispo,10/17/2020,2,0,2,451,0,0,25
Madera,10/17/2020,7,7,14,263,0,1,25
Inyo,10/17/2020,1,0,1,29,0,0,2
Imperial,10/17/2020,34,2,36,259,14,0,3
Yolo,10/17/2020,6,0,6,96,4,0,3
San Diego,10/18/2020,189,54,243,6765,63,10,331
Yolo,10/18/2020,6,0,6,96,4,0,4
Tehama,10/18/2020,6,1,7,59,2,0,2
San Luis Obispo,10/18/2020,1,0,1,451,0,0,27
Yuba,10/18/2020,9,0,9,265,0,0,11
San Benito,10/18/2020,0,0,0,25,0,0,3
Colusa,10/18/2020,0,2,2,48,0,0,0
Napa,10/18/2020,2,5,7,351,0,0,24
Shasta,10/18/2020,7,1,8,561,1,0,7
Trinity,10/18/2020,0,0,0,25,0,0,0
San Francisco,10/18/2020,25,3,28,1794,8,2,80
San Bernardino,10/18/2020,181,47,228,3822,41,9,172
Butte,10/18/2020,2,0,2,451,2,0,13
Inyo,10/18/2020,1,0,1,29,1,0,3
Ventura,10/18/2020,30,10,40,1228,15,1,58
Tulare,10/18/2020,30,5,35,677,3,0,30
Sutter,10/18/2020,0,0,0,14,0,0,0
Marin,10/18/2020,6,4,10,357,1,0,16
Santa Clara,10/18/2020,90,19,109,2908,26,1,123
Kern,10/18/2020,55,3,58,1323,17,0,60
Calaveras,10/18/2020,0,0,0,33,0,0,8
Imperial,10/18/2020,33,1,34,259,15,0,3
Madera,10/18/2020,8,5,13,263,1,0,17
Santa Cruz,10/18/2020,11,0,11,389,6,0,13
Sonoma,10/18/2020,22,9,31,507,5,1,8
Humboldt,10/18/2020,3,1,4,269,1,0,4
Mariposa,10/18/2020,0,0,0,19,0,0,0
Monterey,10/18/2020,20,0,20,702,7,0,40
Merced,10/18/2020,6,1,7,272,2,0,11
Lassen,10/18/2020,0,0,0,25,0,0,0
Fresno,10/18/2020,96,20,116,1537,28,2,29
Orange,10/18/2020,168,42,210,5672,63,6,251
Nevada,10/18/2020,1,0,1,117,0,0,2
San Mateo,10/18/2020,20,7,27,670,5,2,35
Alameda,10/18/2020,54,42,96,2329,20,5,128
Tuolumne,10/18/2020,0,1,1,84,0,0,0
San Joaquin,10/18/2020,23,5,28,997,5,1,49
Los Angeles,10/18/2020,730,312,1042,19873,216,30,960
Mendocino,10/18/2020,1,0,1,150,1,0,5
Stanislaus,10/18/2020,61,12,73,1298,15,2,20
Solano,10/18/2020,20,20,40,560,5,0,9
Contra Costa,10/18/2020,32,12,44,1480,4,0,52
Placer,10/18/2020,20,18,38,738,4,4,25
Amador,10/18/2020,0,0,0,51,0,0,2
Riverside,10/18/2020,153,55,208,3319,43,9,118
Plumas,10/18/2020,0,0,0,35,0,0,0
Kings,10/18/2020,19,0,19,193,1,0,15
Modoc,10/18/2020,0,0,0,41,0,0,0
El Dorado,10/18/2020,0,0,0,189,0,0,11
Siskiyou,10/18/2020,0,0,0,56,0,0,7
Sacramento,10/18/2020,81,43,124,2491,23,12,100
Mono,10/18/2020,0,0,0,17,0,0,1
Lake,10/18/2020,2,0,2,65,1,0,3
Glenn,10/18/2020,0,0,0,47,0,0,0
Santa Barbara,10/18/2020,16,1,17,666,5,1,55
Del Norte,10/18/2020,1,0,1,51,0,0,2
Monterey,10/19/2020,22,1,23,702,7,0,44
Sutter,10/19/2020,0,0,0,14,0,0,0
Amador,10/19/2020,0,0,0,51,0,0,3
Los Angeles,10/19/2020,758,364,1122,19985,216,46,1006
Contra Costa,10/19/2020,25,14,39,1493,5,1,52
Plumas,10/19/2020,0,0,0,35,0,0,0
Tuolumne,10/19/2020,1,0,1,84,0,0,6
Imperial,10/19/2020,41,0,41,259,15,0,3
Lake,10/19/2020,2,1,3,65,1,1,2
Santa Cruz,10/19/2020,9,0,9,389,5,0,14
Nevada,10/19/2020,1,1,2,138,0,1,6
Del Norte,10/19/2020,1,0,1,51,0,0,1
Orange,10/19/2020,168,44,212,5647,63,5,256
Colusa,10/19/2020,0,2,2,48,0,0,0
Mendocino,10/19/2020,1,0,1,150,1,0,5
Alameda,10/19/2020,53,48,101,2319,20,5,128
Lassen,10/19/2020,0,0,0,25,0,0,0
San Benito,10/19/2020,0,0,0,25,0,0,3
Humboldt,10/19/2020,3,3,6,269,1,2,3
San Luis Obispo,10/19/2020,2,0,2,460,0,0,31
San Joaquin,10/19/2020,23,5,28,976,4,0,53
Modoc,10/19/2020,0,0,0,41,0,0,0
Tehama,10/19/2020,6,1,7,59,2,0,2
Ventura,10/19/2020,30,4,34,1233,15,1,60
Yolo,10/19/2020,6,0,6,96,3,0,4
Trinity,10/19/2020,0,0,0,25,0,0,0
San Francisco,10/19/2020,25,5,30,1758,8,2,78
Siskiyou,10/19/2020,0,0,0,56,0,0,7
San Diego,10/19/2020,191,48,239,6771,72,13,354
Yuba,10/19/2020,10,0,10,265,1,0,11
Tulare,10/19/2020,28,7,35,677,1,0,38
El Dorado,10/19/2020,0,0,0,189,0,0,10
Mono,10/19/2020,0,0,0,17,0,0,2
Glenn,10/19/2020,0,0,0,47,0,0,0
Kern,10/19/2020,56,3,59,1312,18,0,52
Sacramento,10/19/2020,80,29,109,2438,23,13,114
Fresno,10/19/2020,100,17,117,1538,23,3,34
Inyo,10/19/2020,1,0,1,29,0,0,4
Sonoma,10/19/2020,20,5,25,514,4,0,7
Napa,10/19/2020,3,5,8,351,0,0,24
Shasta,10/19/2020,8,1,9,561,1,0,7
Butte,10/19/2020,2,0,2,451,2,0,11
Stanislaus,10/19/2020,59,17,76,1299,14,3,25
Madera,10/19/2020,8,8,16,263,1,1,22
Santa Clara,10/19/2020,91,20,111,2914,26,1,123
Placer,10/19/2020,19,21,40,738,3,1,34
Marin,10/19/2020,5,7,12,357,1,0,16
Mariposa,10/19/2020,0,0,0,19,0,0,0
San Mateo,10/19/2020,23,9,32,669,7,2,40
Santa Barbara,10/19/2020,18,0,18,666,4,0,58
Calaveras,10/19/2020,0,0,0,33,0,0,6
Merced,10/19/2020,6,1,7,271,3,0,6
Riverside,10/19/2020,157,60,217,3363,42,14,129
Kings,10/19/2020,20,0,20,193,1,0,17
San Bernardino,10/19/2020,187,44,231,3853,40,7,162
Solano,10/19/2020,22,18,40,546,4,2,6
San Bernardino,10/20/2020,198,31,229,4042,41,7,125
Alameda,10/20/2020,58,37,95,2354,18,5,127
Tuolumne,10/20/2020,1,0,1,84,0,0,0
San Luis Obispo,10/20/2020,3,0,3,460,0,0,29
Imperial,10/20/2020,40,0,40,259,15,0,1
Contra Costa,10/20/2020,23,18,41,1493,7,4,54
Kings,10/20/2020,22,0,22,193,2,0,16
Butte,10/20/2020,6,0,6,451,3,0,7
Trinity,10/20/2020,0,0,0,25,0,0,0
San Diego,10/20/2020,199,34,233,6894,69,8,319
Nevada,10/20/2020,1,0,1,120,0,0,5
Placer,10/20/2020,17,21,38,764,3,4,24
Santa Cruz,10/20/2020,8,0,8,389,4,0,6
San Benito,10/20/2020,0,0,0,25,0,0,3
Stanislaus,10/20/2020,52,26,78,1321,14,1,21
Inyo,10/20/2020,0,0,0,29,0,0,3
Yuba,10/20/2020,7,0,7,265,0,0,11
Calaveras,10/20/2020,0,0,0,33,0,0,5
Merced,10/20/2020,7,0,7,271,3,0,5
Monterey,10/20/2020,21,0,21,729,10,0,34
Santa Barbara,10/20/2020,18,0,18,688,4,0,58
Ventura,10/20/2020,28,10,38,1247,15,4,30
El Dorado,10/20/2020,0,0,0,189,0,0,6
Humboldt,10/20/2020,3,4,7,256,1,0,7
Lake,10/20/2020,2,0,2,65,2,0,1
Sonoma,10/20/2020,19,1,20,532,4,0,6
Amador,10/20/2020,0,0,0,51,0,0,4
Orange,10/20/2020,174,52,226,5761,66,5,216
Colusa,10/20/2020,0,0,0,48,0,0,0
Santa Clara,10/20/2020,99,18,117,2989,25,1,48
Tulare,10/20/2020,26,10,36,677,2,0,27
San Mateo,10/20/2020,20,7,27,661,7,2,33
Plumas,10/20/2020,0,0,0,35,0,0,0
Modoc,10/20/2020,0,0,0,41,0,0,0
Tehama,10/20/2020,5,1,6,59,2,0,2
San Francisco,10/20/2020,21,4,25,1865,6,1,71
Mariposa,10/20/2020,0,0,0,19,0,0,0
Glenn,10/20/2020,0,0,0,47,0,0,0
Lassen,10/20/2020,0,0,0,25,0,0,0
Yolo,10/20/2020,7,0,7,96,3,0,4
Shasta,10/20/2020,8,0,8,561,1,0,3
Fresno,10/20/2020,114,20,134,1652,24,1,27
Madera,10/20/2020,6,8,14,263,1,0,16
Solano,10/20/2020,26,18,44,545,4,1,12
Del Norte,10/20/2020,1,0,1,52,0,0,2
Marin,10/20/2020,5,4,9,360,2,0,16
Siskiyou,10/20/2020,0,0,0,56,0,0,8
Mono,10/20/2020,0,0,0,17,0,0,2
Riverside,10/20/2020,167,46,213,3467,37,14,15
Sutter,10/20/2020,0,0,0,14,0,0,0
Kern,10/20/2020,55,2,57,1349,17,0,49
San Joaquin,10/20/2020,22,8,30,1007,4,0,49
Los Angeles,10/20/2020,777,322,1099,20131,222,39,747
Mendocino,10/20/2020,0,0,0,150,0,0,5
Napa,10/20/2020,0,2,2,351,0,0,27
Sacramento,10/20/2020,82,25,107,2468,22,6,87
Kern,10/21/2020,53,3,56,1364,19,0,58
Sonoma,10/21/2020,23,0,23,538,5,0,8
Amador,10/21/2020,0,0,0,51,0,0,5
Glenn,10/21/2020,0,0,0,47,0,0,0
Colusa,10/21/2020,0,0,0,48,0,0,0
Mono,10/21/2020,0,0,0,17,0,0,2
Santa Cruz,10/21/2020,10,0,10,389,4,0,5
Kings,10/21/2020,21,0,21,193,2,0,16
Lassen,10/21/2020,0,0,0,25,0,0,0
Contra Costa,10/21/2020,22,13,35,1509,6,2,50
Santa Clara,10/21/2020,94,17,111,3037,23,4,56
Napa,10/21/2020,1,3,4,351,0,0,26
Del Norte,10/21/2020,1,0,1,51,0,0,1
San Francisco,10/21/2020,23,10,33,1894,7,5,59
Riverside,10/21/2020,176,51,227,3491,41,16,78
Inyo,10/21/2020,0,0,0,29,0,0,4
San Bernardino,10/21/2020,208,37,245,4052,48,5,108
Siskiyou,10/21/2020,0,0,0,56,0,0,8
Modoc,10/21/2020,0,0,0,41,0,0,0
San Diego,10/21/2020,187,44,231,6898,67,8,305
Sacramento,10/21/2020,81,30,111,2453,19,5,81
Tehama,10/21/2020,7,0,7,59,2,0,2
Lake,10/21/2020,2,0,2,65,2,0,1
Solano,10/21/2020,23,10,33,566,4,3,9
Monterey,10/21/2020,20,1,21,717,9,0,30
Yuba,10/21/2020,8,0,8,265,0,0,10
Mendocino,10/21/2020,1,0,1,150,1,0,5
Mariposa,10/21/2020,0,0,0,19,0,0,0
Ventura,10/21/2020,29,14,43,1251,18,4,50
Calaveras,10/21/2020,0,0,0,33,0,0,6
Sutter,10/21/2020,0,0,0,14,0,0,0
San Luis Obispo,10/21/2020,6,1,7,460,0,0,30
Alameda,10/21/2020,61,37,98,2564,16,3,121
Marin,10/21/2020,5,5,10,360,2,0,12
Butte,10/21/2020,7,0,7,451,1,0,4
Los Angeles,10/21/2020,769,290,1059,20077,221,34,774
Placer,10/21/2020,16,11,27,775,3,2,25
Stanislaus,10/21/2020,54,20,74,1371,12,3,22
Tuolumne,10/21/2020,1,0,1,84,0,0,2
Merced,10/21/2020,6,0,6,271,2,0,10
El Dorado,10/21/2020,0,0,0,189,0,0,2
San Benito,10/21/2020,0,0,0,25,0,0,3
Humboldt,10/21/2020,3,1,4,275,1,1,4
Plumas,10/21/2020,0,0,0,35,0,0,0
Trinity,10/21/2020,0,0,0,25,0,0,0
Imperial,10/21/2020,45,0,45,259,17,0,0
Tulare,10/21/2020,27,6,33,677,2,0,18
Nevada,10/21/2020,1,0,1,139,0,0,3
San Joaquin,10/21/2020,26,10,36,1003,6,0,54
Orange,10/21/2020,168,50,218,5771,56,9,173
Madera,10/21/2020,4,13,17,263,2,1,20
Fresno,10/21/2020,110,19,129,1676,19,0,36
Yolo,10/21/2020,6,0,6,96,3,0,3
Santa Barbara,10/21/2020,17,1,18,688,3,0,64
Shasta,10/21/2020,7,0,7,561,1,0,1
San Mateo,10/21/2020,22,3,25,683,8,1,35
Nevada,10/22/2020,2,3,5,120,1,0,4
Kings,10/22/2020,22,1,23,193,2,1,14
San Bernardino,10/22/2020,215,48,263,4055,43,6,131
Modoc,10/22/2020,0,0,0,41,0,0,0
San Mateo,10/22/2020,19,7,26,691,5,2,32
Sonoma,10/22/2020,23,3,26,544,5,1,10
Monterey,10/22/2020,22,0,22,720,8,0,19
Ventura,10/22/2020,31,14,45,1257,19,2,53
Stanislaus,10/22/2020,53,20,73,1301,15,1,12
Colusa,10/22/2020,0,1,1,48,0,0,0
Yuba,10/22/2020,8,0,8,265,0,0,11
Tehama,10/22/2020,6,0,6,59,2,0,1
Lassen,10/22/2020,0,0,0,25,0,0,0
San Francisco,10/22/2020,23,3,26,1876,7,3,59
Kern,10/22/2020,55,5,60,1348,20,0,59
Los Angeles,10/22/2020,770,262,1032,20091,227,32,794
Merced,10/22/2020,7,2,9,271,3,0,11
Mono,10/22/2020,0,0,0,17,0,0,2
Sacramento,10/22/2020,90,27,117,2483,16,7,71
Shasta,10/22/2020,9,1,10,561,2,0,4
Glenn,10/22/2020,0,0,0,47,0,0,0
Tulare,10/22/2020,28,1,29,677,4,0,19
Santa Clara,10/22/2020,89,20,109,3021,23,3,80
Inyo,10/22/2020,0,0,0,29,0,0,4
Fresno,10/22/2020,100,13,113,1665,21,0,37
Calaveras,10/22/2020,0,0,0,33,0,0,5
Alameda,10/22/2020,61,43,104,2575,15,3,125
Mariposa,10/22/2020,0,0,0,19,0,0,0
Plumas,10/22/2020,0,0,0,35,0,0,0
Sutter,10/22/2020,0,0,0,14,0,0,0
Imperial,10/22/2020,43,0,43,259,17,0,1
Solano,10/22/2020,21,12,33,376,3,2,7
Mendocino,10/22/2020,0,0,0,150,0,0,7
San Diego,10/22/2020,188,47,235,6899,58,13,280
Amador,10/22/2020,1,0,1,51,0,0,6
Orange,10/22/2020,162,41,203,5874,58,5,179
San Benito,10/22/2020,0,0,0,25,0,0,3
Lake,10/22/2020,2,0,2,65,2,0,2
Del Norte,10/22/2020,1,1,2,51,0,0,3
Marin,10/22/2020,6,6,12,360,3,1,15
Riverside,10/22/2020,161,57,218,3476,39,15,77
Trinity,10/22/2020,0,0,0,25,0,0,0
Contra Costa,10/22/2020,24,6,30,1467,7,2,46
Napa,10/22/2020,2,0,2,351,0,0,24
Santa Barbara,10/22/2020,13,0,13,688,2,0,53
Butte,10/22/2020,7,0,7,451,1,0,11
Madera,10/22/2020,5,8,13,263,2,1,19
Tuolumne,10/22/2020,2,0,2,84,0,0,2
San Joaquin,10/22/2020,30,7,37,1004,7,1,41
Siskiyou,10/22/2020,0,0,0,56,0,0,8
Humboldt,10/22/2020,4,0,4,268,1,0,3
Santa Cruz,10/22/2020,10,0,10,389,5,0,7
San Luis Obispo,10/22/2020,5,0,5,460,1,0,28
Yolo,10/22/2020,6,0,6,97,3,0,4
El Dorado,10/22/2020,0,0,0,189,0,0,4
Placer,10/22/2020,12,14,26,769,3,3,25
Marin,10/23/2020,4,6,10,357,2,1,21
Tuolumne,10/23/2020,2,0,2,84,1,0,1
Del Norte,10/23/2020,1,0,1,51,0,0,3
Merced,10/23/2020,7,2,9,271,2,1,11
Mariposa,10/23/2020,0,0,0,19,0,0,0
Alameda,10/23/2020,55,46,101,2404,11,7,121
San Mateo,10/23/2020,22,10,32,714,5,1,22
San Francisco,10/23/2020,24,4,28,1893,7,3,53
Modoc,10/23/2020,0,0,0,41,0,0,0
Yolo,10/23/2020,10,0,10,97,3,0,4
Contra Costa,10/23/2020,24,9,33,1475,9,1,28
El Dorado,10/23/2020,0,0,0,189,0,0,7
Lassen,10/23/2020,0,0,0,25,0,0,0
Mendocino,10/23/2020,0,0,0,150,0,0,7
Solano,10/23/2020,20,11,31,564,2,2,9
Mono,10/23/2020,0,0,0,17,0,0,2
Riverside,10/23/2020,151,58,209,3407,37,13,63
Placer,10/23/2020,15,10,25,795,4,1,31
Calaveras,10/23/2020,0,0,0,33,0,0,6
Fresno,10/23/2020,100,15,115,1664,23,2,17
Ventura,10/23/2020,31,13,44,1254,14,4,51
Butte,10/23/2020,7,0,7,451,1,0,8
Lake,10/23/2020,2,1,3,65,2,1,3
Santa Barbara,10/23/2020,11,0,11,688,2,0,51
San Benito,10/23/2020,0,0,0,25,0,0,3
Shasta,10/23/2020,10,2,12,561,1,0,6
Trinity,10/23/2020,0,0,0,25,0,0,0
Yuba,10/23/2020,9,1,10,265,0,0,14
Inyo,10/23/2020,0,0,0,29,0,0,3
Kings,10/23/2020,19,1,20,193,3,1,12
Los Angeles,10/23/2020,785,254,1039,20067,229,27,754
Sonoma,10/23/2020,20,0,20,533,5,0,7
Napa,10/23/2020,1,0,1,351,0,0,23
Nevada,10/23/2020,2,1,3,126,0,0,8
San Bernardino,10/23/2020,212,51,263,4069,40,9,137
San Diego,10/23/2020,185,50,235,7026,69,12,277
Monterey,10/23/2020,21,0,21,717,8,0,20
Madera,10/23/2020,6,5,11,263,2,0,19
Santa Cruz,10/23/2020,11,0,11,389,4,0,7
Tulare,10/23/2020,29,1,30,677,5,0,27
Kern,10/23/2020,56,3,59,1333,19,0,59
Imperial,10/23/2020,42,1,43,259,16,0,2
Santa Clara,10/23/2020,88,21,109,3012,16,2,70
Orange,10/23/2020,159,42,201,5892,55,9,168
Amador,10/23/2020,1,0,1,51,0,0,5
Glenn,10/23/2020,0,0,0,47,0,0,0
San Joaquin,10/23/2020,30,4,34,1001,6,0,36
Sacramento,10/23/2020,92,26,118,2464,15,7,74
San Luis Obispo,10/23/2020,8,0,8,460,1,0,26
Plumas,10/23/2020,0,0,0,35,0,0,0
Tehama,10/23/2020,6,0,6,59,2,0,2
Sutter,10/23/2020,0,0,0,14,0,0,0
Colusa,10/23/2020,0,1,1,48,0,0,0
Humboldt,10/23/2020,4,1,5,275,1,1,4
Siskiyou,10/23/2020,1,0,1,56,0,0,8
Stanislaus,10/23/2020,53,21,74,1318,14,3,16
Sonoma,10/24/2020,24,4,28,530,4,1,7
Madera,10/24/2020,7,12,19,263,2,2,20
Merced,10/24/2020,7,2,9,271,2,0,9
Stanislaus,10/24/2020,46,15,61,1323,12,2,15
Amador,10/24/2020,3,0,3,51,0,0,4
Humboldt,10/24/2020,4,2,6,270,1,0,6
Calaveras,10/24/2020,0,0,0,33,0,0,6
Del Norte,10/24/2020,1,0,1,51,0,0,2
San Joaquin,10/24/2020,33,4,37,1007,5,0,47
Los Angeles,10/24/2020,767,294,1061,19924,221,43,785
San Diego,10/24/2020,166,42,208,6988,67,3,289
Kern,10/24/2020,53,3,56,1322,20,0,60
Sutter,10/24/2020,0,0,0,14,0,0,0
Napa,10/24/2020,1,0,1,351,0,0,23
Santa Clara,10/24/2020,84,29,113,2990,17,2,72
Mendocino,10/24/2020,1,0,1,150,1,0,5
San Mateo,10/24/2020,21,12,33,693,4,1,29
Siskiyou,10/24/2020,0,0,0,56,0,0,8
Riverside,10/24/2020,151,53,204,3357,34,9,64
Orange,10/24/2020,150,33,183,5818,55,5,189
Colusa,10/24/2020,0,0,0,48,0,0,0
San Bernardino,10/24/2020,203,60,263,4033,38,6,130
Tehama,10/24/2020,6,0,6,59,2,0,2
Modoc,10/24/2020,1,0,1,41,0,0,0
Nevada,10/24/2020,2,2,4,126,0,0,6
Yuba,10/24/2020,6,1,7,265,0,0,12
Shasta,10/24/2020,10,1,11,561,3,0,5
Lassen,10/24/2020,0,0,0,25,0,0,0
Butte,10/24/2020,5,0,5,451,1,0,12
Santa Cruz,10/24/2020,10,0,10,389,3,0,8
Inyo,10/24/2020,0,0,0,29,0,0,4
Sacramento,10/24/2020,91,29,120,2370,15,9,68
Lake,10/24/2020,2,3,5,65,2,1,3
Kings,10/24/2020,20,0,20,193,3,0,14
Trinity,10/24/2020,0,0,0,25,0,0,0
Solano,10/24/2020,21,7,28,562,2,2,11
Tuolumne,10/24/2020,2,0,2,84,0,0,2
San Luis Obispo,10/24/2020,7,4,11,460,1,0,26
Imperial,10/24/2020,43,0,43,259,15,0,6
Fresno,10/24/2020,96,21,117,1646,22,2,21
Yolo,10/24/2020,9,0,9,97,4,0,5
Monterey,10/24/2020,22,1,23,717,8,0,19
San Francisco,10/24/2020,23,5,28,1887,6,1,61
Mono,10/24/2020,0,0,0,17,0,0,2
Alameda,10/24/2020,54,27,81,2404,14,5,125
Marin,10/24/2020,3,9,12,357,0,2,17
Glenn,10/24/2020,0,0,0,47,0,0,0
El Dorado,10/24/2020,0,0,0,189,0,0,8
Santa Barbara,10/24/2020,9,0,9,688,2,0,53
San Benito,10/24/2020,0,0,0,25,0,0,3
Ventura,10/24/2020,27,14,41,1256,13,7,60
Mariposa,10/24/2020,0,0,0,19,0,0,0
Placer,10/24/2020,13,12,25,798,3,1,34
Tulare,10/24/2020,27,1,28,677,5,0,27
Contra Costa,10/24/2020,23,13,36,1437,8,3,36
Plumas,10/24/2020,0,0,0,35,0,0,0
Del Norte,10/25/2020,1,0,1,51,0,0,0
Los Angeles,10/25/2020,747,291,1038,19948,204,34,807
Ventura,10/25/2020,21,12,33,1256,10,5,55
Humboldt,10/25/2020,4,2,6,271,1,1,6
Plumas,10/25/2020,0,0,0,35,0,0,0
Modoc,10/25/2020,0,1,1,41,0,0,0
Mariposa,10/25/2020,0,0,0,19,0,0,0
Santa Cruz,10/25/2020,10,0,10,389,3,0,8
Lake,10/25/2020,2,4,6,65,2,0,1
Madera,10/25/2020,11,10,21,263,3,1,18
San Joaquin,10/25/2020,29,3,32,1003,7,0,50
Sonoma,10/25/2020,26,2,28,533,4,1,9
Santa Barbara,10/25/2020,11,1,12,688,3,0,54
Sutter,10/25/2020,0,0,0,14,0,0,0
Nevada,10/25/2020,2,1,3,119,0,0,8
Colusa,10/25/2020,0,0,0,48,0,0,0
Tehama,10/25/2020,6,0,6,59,2,0,1
Shasta,10/25/2020,10,2,12,561,3,0,5
Alameda,10/25/2020,56,38,94,2420,16,4,119
Lassen,10/25/2020,0,0,0,25,0,0,0
San Francisco,10/25/2020,28,2,30,1824,7,0,69
Napa,10/25/2020,1,0,1,200,0,0,9
Calaveras,10/25/2020,0,0,0,33,0,0,6
Mendocino,10/25/2020,2,0,2,150,0,0,4
Merced,10/25/2020,6,2,8,271,2,0,8
Kern,10/25/2020,48,1,49,1305,19,0,59
Monterey,10/25/2020,30,3,33,717,7,1,26
Glenn,10/25/2020,0,0,0,47,0,0,0
Contra Costa,10/25/2020,24,12,36,1451,8,3,35
Tuolumne,10/25/2020,1,0,1,84,0,0,0
Amador,10/25/2020,3,0,3,51,0,0,6
Santa Clara,10/25/2020,85,29,114,2959,16,3,93
San Mateo,10/25/2020,21,9,30,691,5,1,31
Marin,10/25/2020,6,3,9,353,0,0,21
Solano,10/25/2020,23,11,34,545,2,1,12
Mono,10/25/2020,0,1,1,17,0,0,2
Trinity,10/25/2020,0,0,0,25,0,0,0
Kings,10/25/2020,21,0,21,193,2,0,14
Inyo,10/25/2020,0,0,0,29,0,0,4
Butte,10/25/2020,6,0,6,453,1,0,12
San Bernardino,10/25/2020,219,42,261,4016,45,7,128
San Diego,10/25/2020,162,45,207,6979,63,11,320
